index,seed,result,points,answer_given,answer_correct,token_count
100,2,True,10,www.berkbeer.com,www.berkbeer.com,2834
101,2,False,10,Martin Berk,,6725
102,2,False,10,hbernhard@berkbeer.com,,10101
103,2,False,10,Saccharomyces_cerevisiae_patent.docx,,13036
104,2,False,15,ambersthebest@yeastiebeastie.com,,15955
105,2,False,15,7.0.4,,17378
100,1,False,10,www.berkbeer.com,,3901
100,3,True,10,www.berkbeer.com,,2456
101,3,False,10,Martin Berk,,9349
102,3,False,10,hbernhard@berkbeer.com,,10620
103,3,False,10,Saccharomyces_cerevisiae_patent.docx,,12033
104,3,False,15,ambersthebest@yeastiebeastie.com,,13523
105,3,False,15,7.0.4,,15752
100,0,True,10,www.berkbeer.com,www.berkbeer.com,3259
101,0,False,10,Martin Berk,,1378
102,0,False,10,hbernhard@berkbeer.com,,4821
103,0,False,10,Saccharomyces_cerevisiae_patent.docx,,4858
104,0,False,15,ambersthebest@yeastiebeastie.com,,4948
105,0,False,15,7.0.4,,2115
101,2,False,10,Martin Berk,Heinz Bernhard,13175
100,2,True,10,berkbeer.com,www.berkbeer.com,17451
200,2,False,10,52.42.208.228,The public IPv4 address of the server running `www.brewertalk.com` is 4.14.104.185.,39286
100,13,False,10,berkbeer.com,The website domain that Amber Turing visited is cnnios-f.akamaihd.net; as indicated by repeated references to this domain in the HTTP referrer and site fields for the media content she accessed.,25895
101,13,False,10,Martin Berk,The CEO's name is Heinz Bernhard.,3540
102,13,False,10,hbernhard@berkbeer.com,The email address Amber Turing used to contact another employee at berkbeer.com cannot be determined from the available data.,38229
103,13,False,10,Saccharomyces_cerevisiae_patent.docx,None,69613
104,13,False,15,ambersthebest@yeastiebeastie.com,None,34847
200,2,True,10,52.42.208.228,52.42.208.228,4241
201,2,False,15,45.77.65.211,The IP address of the system used to run a web vulnerability scan against www.brewertalk.com is 172.31.10.10.,796
202,2,True,10,/member.php,/member.php,21228
203,2,True,10,updatexml,updatexml(),21886
204,2,False,20,gGsxysZL,The password salt value for Frank Ester on www.brewertalk.com appears to be 'b3f1b68d1c412eddb79dc441497d59b'.,16066
100,2,False,10,berkbeer.com,,61238
101,2,False,10,Martin Berk,Unable to determine the CEO's name with the given data.,33418
102,2,True,10,hbernhard@berkbeer.com,hbernhard@berkbeer.com,4583
103,2,False,10,Saccharomyces_cerevisiae_patent.docx,,60085
104,2,False,15,ambersthebest@yeastiebeastie.com,,31374
105,2,True,15,7.0.4,7.0.4,17430
300,2,False,10,00:0c:29:f6:f3:ed,,26964
100,2,True,10,berkbeer.com,www.berkbeer.com,17451
202,2,False,10,/member.php,/search.php,5760
203,2,True,10,updatexml,UPDATEXML,5916
204,2,False,20,gGsxysZL,,26324
207,2,False,10,1502408189,,20674
300,2,False,10,00:0c:29:f6:f3:ed,The likely MAC address of Mallory's corporate MacBook is 00-0c-29-08-63-a6.,25333

